"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Buvuma","49731",null,null,"0","ADM2","Buvuma","49731","UGA0512449731","2022","114401","16245","34549","59603","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Buyende","49732",null,null,"0","ADM2","Buyende","49732","UGA0512549732","2022","407521","57868","123071","212318","Non-endemic","0","0","0","0.0","3","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","DOKOLO","49733",null,null,"0","ADM2","DOKOLO","49733","UGA0512349733","2022","232174","32969","70117","120963","Non-endemic","0","0","0","0.0","8","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","GULU","49734",null,null,"0","ADM2","GULU","49734","UGA0512349734","2022","398162","56539","120245","207442","Endemic (under MDA)","140174","140174","137341","97.980000000000004","23","1","1","8","6","97.980000000000004","1","1","8","5","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Gomba","49735",null,null,"0","ADM2","Gomba","49735","UGA0512449735","2022","203559","28905","61475","106054","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","HOIMA","49736",null,null,"0","ADM2","HOIMA","49736","UGA0512649736","2022","392526","55739","118543","204506","Endemic (under post-intervention surveillance)","0","0","0","0.0","21","0","0","4","3","0.0","0","0","4","2","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","IBANDA","49737",null,null,"0","ADM2","IBANDA","49737","UGA0512649737","2022","315476","44798","95274","164363","Endemic (under post-intervention surveillance)","0","0","0","0.0","15","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","IGANGA","49738",null,null,"0","ADM2","IGANGA","49738","UGA0512549738","2022","429208","60948","129621","223617","Non-endemic","0","0","0","0.0","6","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Insingiro","49739",null,null,"0","ADM2","Insingiro","49739","UGA0512649739","2022","625808","88865","188994","326046","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Jinja","49740",null,null,"0","ADM2","Jinja","49740","UGA0512549740","2022","595463","84556","179830","310236","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
